,exp_Gene
1344,Mcf2l
1345,Mcph1
1346,Vps36
1347,Slc20a2
1348,Fgfr1
1349,Plpp5
1350,Mboat4
1351,Slc7a2
1352,Acsl1
1353,Nek1
1354,Spock3
1355,Naf1
1356,Sh2d4a
1357,Ints10
1358,Tpm4
1359,Tbc1d9
1360,Ddx39
1361,Asf1b
1362,Syce2
1363,Dnase2a
1364,Man2b1
1365,Gpt2
1366,Gm2694
1367,Cyld
1368,Mt2
1369,Nup93
1370,Herpud1
1371,Cx3cl1
1372,Dus2
1373,Cdh3
1374,Cdh1
1375,Cyb5b
1376,Zfhx3
1377,Nudt7
1378,Vat1l
1379,Cenpn
1380,Bco1
1381,Osgin1
1382,Necab2
1383,Gse1
1384,Zfpm1
1385,Cdt1
1386,Rhou
1387,BC021891
1388,Kcnk1
1389,Nrp1
1390,Yap1
1391,Cep126
1392,Cep57
1393,Amotl1
1394,4931406C07Rik
1395,Cep295
1396,Dnmt1
1397,Spc24
1398,Elavl3
1399,Anln
1400,Glb1l2
1401,Jam3
1402,Ntm
1403,St14
1404,Aplp2
1405,St3gal4
1406,Stt3a
1407,Phldb1
1408,Ncam1
1409,AU019823
1410,Peak1
1411,Lingo1
1412,1700017B05Rik
1413,Kif23
1414,Paqr5
1415,Glce
1416,Coro2b
1417,Smad3
1418,Zwilch
1419,Usp3
1420,Tpm1
1421,Tln2
1422,Fam81a
1423,Ccnb2
1424,Cgnl1
1425,Filip1
1426,Me1
1427,Trpc1
1428,Spsb4
1429,Mras
1430,Slc35g2
1431,Trf
1432,Manf
1433,Cmtm7
1434,Cmtm8
1435,Stt3b
1436,Cck
1437,Pdgfd
1438,Sesn3
1439,Taf1d
1440,Smco4
1441,Ldlr
1442,Zfp809
1443,Eepd1
1444,Ncapd3
1445,Mcam
1446,Hyou1
1447,Uaca
1448,Calml4
1449,Tipin
1450,Megf11
1451,Igdcc4
1452,2810417H13Rik
1453,Anxa2
1454,Mns1
1455,Rab27a
1456,Gm20649
1457,Myo5c
1458,Gclc
1459,Ttk
1460,Bckdhb
1461,Rasgrf1
1462,Ctsh
1463,Plod2
1464,Slc9a9
1465,Tfdp2
1466,Rbp1
1467,Amotl2
1468,Topbp1
1469,Poc1a
1470,Rassf1
1471,Prkar2a
1472,Vill
1473,Entpd3
1474,Snrk
1475,Kif15
1476,Hdac6
1477,Glod5
1478,Bcor
1479,Maob
1480,Klhl13
1481,Akap17b
1482,Smarca1
1483,Elf4
1484,Aifm1
1485,Hs6st2
1486,Gpc4
1487,Gpc3
1488,Ids
1489,Renbp
1490,Pls3
1491,Gk
1492,Pola1
1493,Pdk3
1494,Amer1
1495,Hmgn5
1496,Sytl4
1497,Slc25a53
1498,Morc4
1499,Ammecr1
1500,Dcx
1501,Trpc5
1502,Sat1
1503,Prdx4
1504,Sms
1505,Prps2
1506,Pim2
1507,Usp9x
1508,Jade3
1509,Usp11
1510,Dock11
1511,Ocrl
1512,Arhgap36
1513,Mamld1
1514,Hmgb3
1515,Dkc1
1516,Arx
1517,Pcyt1b
1518,Kif4
1519,Chic1
1520,Mum1l1
1521,Rnf128
1522,Atg4a
1523,Pak3
1524,Zcchc16
1525,Wnk3
1526,Smc1a
1527,Map7d2
1528,Map3k15
1529,Rai2
1530,Ap1s2
1531,Gpm6b
1532,Ddx3y
1533,Eif2s3y
1534,Erdr1
